version,jdk,allowSegmentTiering,actualSegments,dataSeed,round,mapSizeBeforeRemoval,attemptedPuts,successfulPuts,failureCount,failedSegment,failedSegmentEntries,usedBytes,capacityBytes,freeChunks,chunkSizeBytes,tiers,offHeapBytes,remainingAutoResizes
3.22ea6,8,false,64,288318358859158784,7,58438,3939,3938,1,23,1638,9225216,12615680,13244,256,1,807542784,64
3.22ea6,8,false,64,288318358859158784,8,51459,22,21,2,23,1638,9225216,12615680,13244,256,1,807542784,64
3.22ea6,8,false,64,288318358859158784,9,44464,6,5,3,23,1638,9225216,12615680,13244,256,1,807542784,64
3.22ea6,8,false,64,288318358859158784,10,39465,2002,2001,4,13,1638,9225216,12615680,13244,256,1,807542784,64
3.22ea6,8,false,64,288318358859158784,11,32492,28,27,5,13,1638,9225216,12615680,13244,256,1,807542784,64
3.22ea6,8,false,64,288318358859158784,12,25504,13,12,6,13,1638,9225216,12615680,13244,256,1,807542784,64
3.22ea6,8,false,64,288318358859158784,13,18897,394,393,7,6,1638,9225216,12615680,13244,256,1,807542784,64
3.22ea6,8,false,64,288318358859158784,14,11906,10,9,8,6,1638,9225216,12615680,13244,256,1,807542784,64
3.22ea6,8,false,64,288318358859158784,15,5809,904,903,9,2,1638,9225216,12615680,13244,256,1,807542784,64
3.22ea6,8,false,64,288318358859158784,22,59104,4605,4604,10,13,1638,9225216,12615680,13244,256,1,807542784,64
ea,21,false,64,288318358859158784,7,58438,3939,3938,1,23,1638,9225216,12615680,13244,256,1,807542784,64
ea,21,false,64,288318358859158784,8,51459,22,21,2,23,1638,9225216,12615680,13244,256,1,807542784,64
ea,21,false,64,288318358859158784,9,44464,6,5,3,23,1638,9225216,12615680,13244,256,1,807542784,64
ea,21,false,64,288318358859158784,10,39465,2002,2001,4,13,1638,9225216,12615680,13244,256,1,807542784,64
ea,21,false,64,288318358859158784,11,32492,28,27,5,13,1638,9225216,12615680,13244,256,1,807542784,64
ea,21,false,64,288318358859158784,12,25504,13,12,6,13,1638,9225216,12615680,13244,256,1,807542784,64
ea,21,false,64,288318358859158784,13,18897,394,393,7,6,1638,9225216,12615680,13244,256,1,807542784,64
ea,21,false,64,288318358859158784,14,11906,10,9,8,6,1638,9225216,12615680,13244,256,1,807542784,64
ea,21,false,64,288318358859158784,15,5809,904,903,9,2,1638,9225216,12615680,13244,256,1,807542784,64
ea,21,false,64,288318358859158784,22,59104,4605,4604,10,13,1638,9225216,12615680,13244,256,1,807542784,64
pr613,21,false,64,288318358859158784,7,58438,3939,3938,1,23,1638,9225216,12615680,13244,256,1,807542784,64
pr613,21,false,64,288318358859158784,8,51459,22,21,2,23,1638,9225216,12615680,13244,256,1,807542784,64
pr613,21,false,64,288318358859158784,9,44464,6,5,3,23,1638,9225216,12615680,13244,256,1,807542784,64
pr613,21,false,64,288318358859158784,10,39465,2002,2001,4,13,1638,9225216,12615680,13244,256,1,807542784,64
pr613,21,false,64,288318358859158784,11,32492,28,27,5,13,1638,9225216,12615680,13244,256,1,807542784,64
pr613,21,false,64,288318358859158784,12,25504,13,12,6,13,1638,9225216,12615680,13244,256,1,807542784,64
pr613,21,false,64,288318358859158784,13,18897,394,393,7,6,1638,9225216,12615680,13244,256,1,807542784,64
pr613,21,false,64,288318358859158784,14,11906,10,9,8,6,1638,9225216,12615680,13244,256,1,807542784,64
pr613,21,false,64,288318358859158784,15,5809,904,903,9,2,1638,9225216,12615680,13244,256,1,807542784,64
pr613,21,false,64,288318358859158784,22,59104,4605,4604,10,13,1638,9225216,12615680,13244,256,1,807542784,64
3.22ea6,8,true,64,288318358859158784,30,61500,7000,7000,0,-1,,,,,,3,1514131968,15
ea,21,true,64,288318358859158784,30,61500,7000,7000,0,-1,,,,,,3,1514131968,15
pr613,21,true,64,288318358859158784,30,61500,7000,7000,0,-1,,,,,,3,1514131968,15
