version,jdk,allowSegmentTiering,actualSegments,dataSeed,round,segment,entries,usedBytes,capacityBytes,freeChunks,chunkSizeBytes,tiers
ea,21,false,64,288318358859158784,7,0,1546,8707072,12615680,15268,256,1
ea,21,false,64,288318358859158784,7,1,1577,8881664,12615680,14586,256,1
ea,21,false,64,288318358859158784,7,2,1587,8937984,12615680,14366,256,1
ea,21,false,64,288318358859158784,7,3,1585,8926720,12615680,14410,256,1
ea,21,false,64,288318358859158784,7,4,1594,8977408,12615680,14212,256,1
ea,21,false,64,288318358859158784,7,5,1571,8847872,12615680,14718,256,1
ea,21,false,64,288318358859158784,7,6,1603,9028096,12615680,14014,256,1
ea,21,false,64,288318358859158784,7,7,1533,8633856,12615680,15554,256,1
ea,21,false,64,288318358859158784,7,8,1554,8752128,12615680,15092,256,1
ea,21,false,64,288318358859158784,7,9,1593,8971776,12615680,14234,256,1
ea,21,false,64,288318358859158784,7,10,1556,8763392,12615680,15048,256,1
ea,21,false,64,288318358859158784,7,11,1541,8678912,12615680,15378,256,1
ea,21,false,64,288318358859158784,7,12,1567,8825344,12615680,14806,256,1
ea,21,false,64,288318358859158784,7,13,1606,9044992,12615680,13948,256,1
ea,21,false,64,288318358859158784,7,14,1594,8977408,12615680,14212,256,1
ea,21,false,64,288318358859158784,7,15,1588,8943616,12615680,14344,256,1
ea,21,false,64,288318358859158784,7,16,1571,8847872,12615680,14718,256,1
ea,21,false,64,288318358859158784,7,17,1575,8870400,12615680,14630,256,1
ea,21,false,64,288318358859158784,7,18,1510,8504320,12615680,16060,256,1
ea,21,false,64,288318358859158784,7,19,1518,8549376,12615680,15884,256,1
ea,21,false,64,288318358859158784,7,20,1566,8819712,12615680,14828,256,1
ea,21,false,64,288318358859158784,7,21,1512,8515584,12615680,16016,256,1
ea,21,false,64,288318358859158784,7,22,1594,8977408,12615680,14212,256,1
ea,21,false,64,288318358859158784,7,23,1638,9225216,12615680,13244,256,1
ea,21,false,64,288318358859158784,7,24,1541,8678912,12615680,15378,256,1
ea,21,false,64,288318358859158784,7,25,1565,8814080,12615680,14850,256,1
ea,21,false,64,288318358859158784,7,26,1491,8397312,12615680,16478,256,1
ea,21,false,64,288318358859158784,7,27,1597,8994304,12615680,14146,256,1
ea,21,false,64,288318358859158784,7,28,1555,8757760,12615680,15070,256,1
ea,21,false,64,288318358859158784,7,29,1583,8915456,12615680,14454,256,1
ea,21,false,64,288318358859158784,7,30,1461,8228352,12615680,17138,256,1
ea,21,false,64,288318358859158784,7,31,1593,8971776,12615680,14234,256,1
ea,21,false,64,288318358859158784,7,32,1559,8780288,12615680,14982,256,1
ea,21,false,64,288318358859158784,7,33,1558,8774656,12615680,15004,256,1
ea,21,false,64,288318358859158784,7,34,1543,8690176,12615680,15334,256,1
ea,21,false,64,288318358859158784,7,35,1592,8966144,12615680,14256,256,1
ea,21,false,64,288318358859158784,7,36,506,2849792,12615680,38148,256,1
ea,21,false,64,288318358859158784,7,37,60,337920,12615680,47960,256,1
ea,21,false,64,288318358859158784,7,38,64,360448,12615680,47872,256,1
ea,21,false,64,288318358859158784,7,39,58,326656,12615680,48004,256,1
ea,21,false,64,288318358859158784,7,40,64,360448,12615680,47872,256,1
ea,21,false,64,288318358859158784,7,41,65,366080,12615680,47850,256,1
ea,21,false,64,288318358859158784,7,42,67,377344,12615680,47806,256,1
ea,21,false,64,288318358859158784,7,43,44,247808,12615680,48312,256,1
ea,21,false,64,288318358859158784,7,44,68,382976,12615680,47784,256,1
ea,21,false,64,288318358859158784,7,45,67,377344,12615680,47806,256,1
ea,21,false,64,288318358859158784,7,46,46,259072,12615680,48268,256,1
ea,21,false,64,288318358859158784,7,47,47,264704,12615680,48246,256,1
ea,21,false,64,288318358859158784,7,48,71,399872,12615680,47718,256,1
ea,21,false,64,288318358859158784,7,49,55,309760,12615680,48070,256,1
ea,21,false,64,288318358859158784,7,50,51,287232,12615680,48158,256,1
ea,21,false,64,288318358859158784,7,51,64,360448,12615680,47872,256,1
ea,21,false,64,288318358859158784,7,52,58,326656,12615680,48004,256,1
ea,21,false,64,288318358859158784,7,53,62,349184,12615680,47916,256,1
ea,21,false,64,288318358859158784,7,54,71,399872,12615680,47718,256,1
ea,21,false,64,288318358859158784,7,55,68,382976,12615680,47784,256,1
ea,21,false,64,288318358859158784,7,56,67,377344,12615680,47806,256,1
ea,21,false,64,288318358859158784,7,57,69,388608,12615680,47762,256,1
ea,21,false,64,288318358859158784,7,58,58,326656,12615680,48004,256,1
ea,21,false,64,288318358859158784,7,59,56,315392,12615680,48048,256,1
ea,21,false,64,288318358859158784,7,60,45,253440,12615680,48290,256,1
ea,21,false,64,288318358859158784,7,61,56,315392,12615680,48048,256,1
ea,21,false,64,288318358859158784,7,62,67,377344,12615680,47806,256,1
ea,21,false,64,288318358859158784,7,63,47,264704,12615680,48246,256,1
